Random Test for smithy
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=15 expected=14
FAIL deck count=431 expected=432
FAIL hand count=292 expected=291
FAIL deck count=14 expected=15
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=324 expected=323
FAIL deck count=46 expected=47
FAIL hand count=195 expected=194
FAIL deck count=53 expected=54
FAIL hand count=304 expected=303
FAIL deck count=473 expected=474
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=384 expected=383
FAIL deck count=289 expected=290
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=93 expected=92
FAIL deck count=491 expected=492
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=324 expected=323
FAIL deck count=46 expected=47
FAIL hand count=195 expected=194
FAIL deck count=53 expected=54
FAIL hand count=304 expected=303
FAIL deck count=473 expected=474
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=384 expected=383
FAIL deck count=289 expected=290
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=93 expected=92
FAIL deck count=491 expected=492
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=324 expected=323
FAIL deck count=46 expected=47
FAIL hand count=195 expected=194
FAIL deck count=53 expected=54
FAIL hand count=304 expected=303
FAIL deck count=473 expected=474
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=3 expected=2
FAIL deck count=6 expected=7
FAIL hand count=8 expected=7
FAIL deck count=1 expected=2
FAIL hand count=384 expected=383
